symbol	gene_number	ensembl_gene	ensembl_trans	chebl_id	uniprot_gname	entrez_id	wikigene
TK1	7083.1	ENSG00000167900	ENST00000301634	CHEMBL2883	P04183	7083.0	7083.0
TK2	7084.1	ENSG00000166548	ENST00000561905		O00142	7084.0	7084.0
PNP	4860.1	ENSG00000198805	ENST00000553418		P23492	4860.0	4860.0
UPP2	151531.1	ENSG00000007001	ENST00000605860		O95045	151531.0	151531.0
DUT	1854.1	ENSG00000128951	ENST00000559935			1854.0	1854.0
ITPA	3704.1	ENSG00000125877	ENST00000380113		Q9BY32	3704.0	3704.0
EBP	10682.1	ENSG00000147155	ENST00000495186	CHEMBL612409	Q15125	10682.0	10682.0
ECHS1	1892.1	ENSG00000127884	ENST00000368547		P30084	1892.0	1892.0
AADAC	13.1	ENSG00000114771	ENST00000232892		P22760	13.0	13.0
SLC27A2	11001.1	ENSG00000140284	ENST00000267842	CHEMBL4326	O14975	11001.0	11001.0
ENGASE	64772.1	ENSG00000167280	ENST00000578419			64772.0	64772.0
ENO1	2023.1	ENSG00000074800	ENST00000234590		P06733	2023.0	2023.0
ENO3	2027.1	ENSG00000108515	ENST00000519266		P21550	2027.0	2027.0
ENO3	2027.2	ENSG00000108515	ENST00000519266		P21550	2027.0	2027.0
ENO2	2026.1	ENSG00000111674	ENST00000537688		P17183	2026.0	2026.0
PCYT2	5833.1	ENSG00000185813	ENST00000538936		Q99447	5833.0	5833.0
SLCO4A1	28231.1	ENSG00000101187	ENST00000497209		Q8K078	28231.0	28231.0
SLCO1C1	53919.1	ENSG00000139155	ENST00000539415			53919.0	53919.0
ABCC4	10257.1	ENSG00000125257	ENST00000376887	CHEMBL1743128	O15439	10257.0	10257.0
SLCO3A1	28232.1	ENSG00000176463	ENST00000318445	CHEMBL2073685	Q9UIG8	28232.0	28232.0
ETFB	2109.2	ENSG00000105379	ENST00000354232		P38117	2109.0	2109.0
ETFA	2108.1	ENSG00000140374	ENST00000557943		P13804	2108.0	2108.0
ETFB	2109.1	ENSG00000105379	ENST00000354232		P38117	2109.0	2109.0
ETFDH	2110.1	ENSG00000171503	ENST00000512251		Q16134	2110.0	2110.0
ETNK1	55500.1	ENSG00000139163	ENST00000266517		Q9HBU6	55500.0	55500.0
ETNK2	55224.1	ENSG00000143845	ENST00000367201		Q9NVF9	55224.0	55224.0
FPGT	8790.1	ENSG00000254685	ENST00000370898		G5E8F4	8790.0	8790.0
TNNI3K	51086.1	ENSG00000116783	ENST00000326637	CHEMBL5260	Q59H18	51086.0	51086.0
FUT8	2530.4	ENSG00000033170	ENST00000360689		Q9BYC5	2530.0	2530.0
FUT8	2530.1	ENSG00000033170	ENST00000360689		Q9BYC5	2530.0	2530.0
FUT8	2530.3	ENSG00000033170	ENST00000360689		Q9BYC5	2530.0	2530.0
FUT8	2530.2	ENSG00000033170	ENST00000360689		Q9BYC5	2530.0	2530.0
FUT8	2530.5	ENSG00000033170	ENST00000360689		Q9BYC5	2530.0	2530.0
OLAH	55301.1	ENSG00000152463	ENST00000428897			55301.0	55301.0
ACSL3	2181.1	ENSG00000123983	ENST00000357430		O95573	2181.0	2181.0
ACSL4	2182.1	ENSG00000068366	ENST00000469796		O60488	2182.0	2182.0
ACSL1	2180.1	ENSG00000151726	ENST00000454703		P33121	2180.0	2180.0
ACSL3	2181.2	ENSG00000123983	ENST00000357430		O95573	2181.0	2181.0
ACSL5	51703.1	ENSG00000197142	ENST00000354655		Q9ULC5	51703.0	51703.0
ACSBG2	81616.1	ENSG00000130377	ENST00000591738		Q2XU92	81616.0	81616.0
ACSL6	23305.1	ENSG00000164398	ENST00000413683		Q9UKU0	23305.0	23305.0
ACSL4	2182.2	ENSG00000068366	ENST00000469796		O60488	2182.0	2182.0
ACSM1	116285.1	ENSG00000166743	ENST00000307493		Q08AH1	116285.0	116285.0
ENPP1	5167.1	ENSG00000197594	ENST00000360971	CHEMBL5925	P22413	5167.0	5167.0
ENPP3	5169.1	ENSG00000154269	ENST00000427707			5169.0	5169.0
ELOVL4	6785.1	ENSG00000118402	ENST00000369816		Q9GZR5	6785.0	6785.0
ELOVL6	79071.1	ENSG00000170522	ENST00000394607	CHEMBL5704	Q9H5J4	79071.0	79071.0
ELOVL5	60481.1	ENSG00000012660	ENST00000304434	CHEMBL5937	Q9NYP7	60481.0	60481.0
ELOVL2	54898.1	ENSG00000197977	ENST00000354666	CHEMBL5911	Q9NXB9	54898.0	54898.0
CYP4A11	1579.1	ENSG00000187048	ENST00000371890		Q02928	1579.0	1579.0
SLC27A1	376497.2	ENSG00000130304	ENST00000600277		Q60714	376497.0	376497.0
SLC27A4	10999.1	ENSG00000167114	ENST00000372870	CHEMBL4327	Q6P1M0	10999.0	10999.0
SLC27A1	376497.1	ENSG00000130304	ENST00000600277		Q60714	376497.0	376497.0
SLC27A3	11000.1	ENSG00000263163	ENST00000575439		Q5K4L6	11000.0	11000.0
ALDOA	226.2	ENSG00000149925	ENST00000338110	CHEMBL2106	P04075	226.0	226.0
ALDOA	226.1	ENSG00000149925	ENST00000338110	CHEMBL2106	P04075	226.0	226.0
ALDOA	226.3	ENSG00000149925	ENST00000338110	CHEMBL2106	P04075	226.0	226.0
ALDOC	230.1	ENSG00000109107	ENST00000395319		P05063	230.0	230.0
ALDOB	229.1	ENSG00000136872	ENST00000374855		P05062	229.0	229.0
FBP1	2203.1	ENSG00000165140	ENST00000375326	CHEMBL3975	P09467	2203.0	2203.0
FBP2	8789.1	ENSG00000130957	ENST00000375337		O00757	8789.0	8789.0
PFKFB4	5210.1	ENSG00000114268	ENST00000232375		Q16877	5210.0	5210.0
PFKFB1	5207.1	ENSG00000158571	ENST00000375006		P16118	5207.0	5207.0
PFKFB3	5209.1	ENSG00000170525	ENST00000379789	CHEMBL2331053	Q16875	5209.0	5209.0
PFKFB2	5208.1	ENSG00000123836	ENST00000545806		P70265	5208.0	5208.0
FECH	2235.1	ENSG00000066926	ENST00000262093		P22830	2235.0	2235.0
FECH	2235.2	ENSG00000066926	ENST00000262093		P22830	2235.0	2235.0
ALDH1L1	10840.1	ENSG00000144908	ENST00000273450		O75891	10840.0	10840.0
CYBRD1	79901.1	ENSG00000071967	ENST00000409484		Q53TN4	79901.0	79901.0
FUK	197258.1	ENSG00000157353	ENST00000288078		Q8N0W3	197258.0	197258.0
AFMID	125061.1	ENSG00000183077	ENST00000409257		Q63HM1	125061.0	125061.0
FLAD1	80308.1	ENSG00000160688	ENST00000368433			80308.0	80308.0
FLAD1	80308.2	ENSG00000160688	ENST00000368433			80308.0	80308.0
FPGS	2356.1	ENSG00000136877	ENST00000373247	CHEMBL3171	Q05932	2356.0	2356.0
SLC2A8	29988.1	ENSG00000136856	ENST00000373371		Q9NY64	29988.0	29988.0
SLC2A2	6514.1	ENSG00000163581	ENST00000314251	CHEMBL5873	P11168	6514.0	6514.0
SLC2A7	155184.1	ENSG00000197241	ENST00000400906		Q6PXP3	155184.0	155184.0
SLC2A5	6518.1	ENSG00000142583	ENST00000377424	CHEMBL5875	P22732	6518.0	6518.0
SLC2A11	66035.1	ENSG00000133460	ENST00000345044		Q9BYW1	66035.0	66035.0
MTHFS	10588.1	ENSG00000136371	ENST00000560261			10588.0	10588.0
ALDH1L2	160428.1	ENSG00000136010	ENST00000258494		Q3SY69	160428.0	160428.0
MTHFD1	4522.1	ENSG00000100714	ENST00000545908			4522.0	4522.0
LOC286297	286297.1	ENSG00000184906				286297.0	
MTHFD1L	25902.1	ENSG00000120254	ENST00000367321		Q6UB35	25902.0	25902.0
FUCA2	2519.1	ENSG00000001036	ENST00000002165	CHEMBL2271	Q9BTY2	2519.0	2519.0
FUCA1	2517.1	ENSG00000179163	ENST00000374479	CHEMBL4176	P04066	2517.0	2517.0
FH	2271.1	ENSG00000091483	ENST00000366560		P07954	2271.0	2271.0
FAH	2184.1	ENSG00000103876	ENST00000558022		P35505	2184.0	2184.0
FUT1	2523.1	ENSG00000174951	ENST00000310160		P19526	2523.0	2523.0
FUT3	2525.1	ENSG00000171124	ENST00000458379	CHEMBL3269	P21217	2525.0	2525.0
FUT9	10690.1	ENSG00000172461	ENST00000302103		Q9Y231	10690.0	10690.0
ALG2	85365.1	ENSG00000119523	ENST00000238477		Q9DBE8	85365.0	85365.0
ALG2	85365.2	ENSG00000119523	ENST00000238477		Q9DBE8	85365.0	85365.0
B4GALT5	9334.1	ENSG00000158470	ENST00000371711		O43286	9334.0	9334.0
B4GALT1	2683.1	ENSG00000086062	ENST00000379731	CHEMBL4384	P15291	2683.0	2683.0
B4GALT3	8703.1	ENSG00000158850	ENST00000319769		O60512	8703.0	8703.0
B4GALT2	8704.2	ENSG00000117411	ENST00000434555		O60909	8704.0	8704.0
B4GALT2	8704.1	ENSG00000117411	ENST00000434555		O60909	8704.0	8704.0
GPD1	2819.1	ENSG00000167588	ENST00000301149		P21695	2819.0	2819.0
GPD2	2820.1	ENSG00000115159	ENST00000415049		P43304	2820.0	2820.0
GNPDA2	132789.1	ENSG00000163281	ENST00000608855			132789.0	132789.0
GNPDA1	10007.1	ENSG00000113552	ENST00000513454		O88958	10007.0	10007.0
H6PD	9563.1	ENSG00000049239	ENST00000377403		O95479	9563.0	9563.0
G6PD	2539.1	ENSG00000160211	ENST00000393562	CHEMBL5347	P11413	2539.0	2539.0
SLC37A4	2542.1	ENSG00000137700	ENST00000545985		O43826	2542.0	2542.0
GAMT	2593.1	ENSG00000130005	ENST00000252288		Q14353	2593.0	2593.0
GAMT	2593.2	ENSG00000130005	ENST00000252288		Q14353	2593.0	2593.0
GAL3ST1	9514.1	ENSG00000128242	ENST00000406955		Q99999	9514.0	9514.0
CTSA	5476.1	ENSG00000064601	ENST00000606788		P16675	5476.0	5476.0
GLB1	2720.1	ENSG00000170266	ENST00000307363	CHEMBL2522	P16278	2720.0	2720.0
GALNS	2588.1	ENSG00000141012	ENST00000268695		P34059	2588.0	2588.0
NEU1	4758.1	ENSG00000228691	ENST00000495201		Q8WWR8	4758.0	4758.0
GALC	2581.1	ENSG00000054983	ENST00000555000		P54818	2581.0	2581.0
B4GALNT1	2583.1	ENSG00000135454	ENST00000341156		Q00973	2583.0	2583.0
GALK1	2584.1	ENSG00000108479	ENST00000225614	CHEMBL1293257	P51570	2584.0	2584.0
GALK2	2585.2	ENSG00000156958	ENST00000559883		Q01415	2585.0	2585.0
GALK2	2585.1	ENSG00000156958	ENST00000559883		Q01415	2585.0	2585.0
CSGALNACT1	55790.1	ENSG00000147408	ENST00000454498	CHEMBL2040705	Q8TDX6	55790.0	55790.0
CSGALNACT2	55454.1	ENSG00000169826	ENST00000374466		Q8N6G5	55454.0	55454.0
CHPF	79586.1	ENSG00000123989	ENST00000243776		Q8IZ52	79586.0	79586.0
CHSY1	22856.1	ENSG00000131873	ENST00000254190		Q86X52	22856.0	22856.0
CHSY3	337876.1	ENSG00000198108	ENST00000305031		Q70JA7	337876.0	337876.0
GALNT8	26290.1	ENSG00000130035	ENST00000252318		Q9NY28	26290.0	26290.0
GALNT12	79695.1	ENSG00000119514	ENST00000375011		Q8IXK2	79695.0	79695.0
GALNT1	2589.1	ENSG00000141429	ENST00000591924		Q10472	2589.0	2589.0
GALNT9	50614.1	ENSG00000182870	ENST00000397325		Q9HCQ5	50614.0	50614.0
GALNT4	8693.1	ENSG00000257594	ENST00000529983		Q8N4A0	8693.0	8693.0
GALNT10	55568.2	ENSG00000164574	ENST00000425427		Q86SR1	55568.0	55568.0
GALNT13	114805.1	ENSG00000144278	ENST00000392825		Q8IUC8	114805.0	114805.0
GALNT6	11226.1	ENSG00000139629	ENST00000543196		Q8NCL4	11226.0	11226.0
GALNT15	117248.1	ENSG00000131386	ENST00000339732		Q8N3T1	117248.0	117248.0
GALNT5	11227.1	ENSG00000136542	ENST00000259056		Q7Z7M9	11227.0	11227.0
GALNT10	55568.1	ENSG00000164574	ENST00000425427		Q86SR1	55568.0	55568.0
GALNT2	2590.1	ENSG00000143641	ENST00000366672		Q10471	2590.0	2590.0
GALNT7	51809.1	ENSG00000109586	ENST00000265000		Q86SF2	51809.0	51809.0
GALNT14	79623.1	ENSG00000158089	ENST00000324589		Q96FL9	79623.0	79623.0
GALNT11	63917.1	ENSG00000178234	ENST00000430044		Q8NCW6	63917.0	63917.0
GALNT3	2591.1	ENSG00000115339	ENST00000392701		Q14435	2591.0	2591.0
GALT	2592.1	ENSG00000213930	ENST00000554550		Q03249	2592.0	2592.0
GALT	2592.3	ENSG00000213930	ENST00000554550		Q03249	2592.0	2592.0
GALT	2592.2	ENSG00000213930	ENST00000554550		Q03249	2592.0	2592.0
SLC2A10	81031.1	ENSG00000197496	ENST00000359271		O95528	81031.0	81031.0
SLC5A1	6523.1	ENSG00000100170	ENST00000266088	CHEMBL4979	P13866	6523.0	6523.0
B3GALT6	126792.1	ENSG00000176022	ENST00000379198		Q96L58	126792.0	126792.0
B4GALT7	11285.1	ENSG00000027847	ENST00000029410		Q9UBV7	11285.0	11285.0
UGP2	7360.1	ENSG00000169764	ENST00000394417		Q16851	7360.0	7360.0
UGP2	7360.2	ENSG00000169764	ENST00000394417		Q16851	7360.0	7360.0
MGAM	8972.1	ENSG00000257335	ENST00000465654		O43451	8972.0	8972.0
GAPDH	2597.1	ENSG00000111640	ENST00000229239	CHEMBL2284	P04406	2597.0	2597.0
GAPDHS	26330.1	ENSG00000105679	ENST00000222286		O14556	26330.0	26330.0
GART	2618.1	ENSG00000262473	ENST00000574289		Q64737	2618.0	2618.0
GART	2618.2	ENSG00000262473	ENST00000574289		Q64737	2618.0	2618.0
AGA	175.1	ENSG00000038002	ENST00000264595		P20933	175.0	175.0
GBA	2629.2	ENSG00000262446	ENST00000572338		P17439	2629.0	2629.0
GBA	2629.3	ENSG00000262446	ENST00000572338		P17439	2629.0	2629.0
GBA	2629.4	ENSG00000262446	ENST00000572338		P17439	2629.0	2629.0
GBA	2629.5	ENSG00000262446	ENST00000572338		P17439	2629.0	2629.0
GBA	2629.1	ENSG00000262446	ENST00000572338		P17439	2629.0	2629.0
GBGT1	26301.1	ENSG00000148288	ENST00000372043		Q8N5D6	26301.0	26301.0
ALDH6A1	4329.1	ENSG00000119711	ENST00000553458		Q02252	4329.0	4329.0
ALDH5A1	7915.1	ENSG00000112294	ENST00000357578	CHEMBL1911	P51649	7915.0	7915.0
ALDH5A1	7915.2	ENSG00000112294	ENST00000357578	CHEMBL1911	P51649	7915.0	7915.0
AMT	275.1	ENSG00000145020	ENST00000427987		P48728	275.0	275.0
GLDC	2731.1	ENSG00000178445	ENST00000321612		P23378	2731.0	2731.0
GCSH	2653.1	ENSG00000140905	ENST00000315467		P23434	2653.0	2653.0
GCNT2	2651.1	ENSG00000111846	ENST00000410107		P97402	2651.0	2651.0
SLC35C1	55343.1	ENSG00000181830	ENST00000442528		Q96A29	55343.0	55343.0
GFPT1	2673.1	ENSG00000198380	ENST00000361060	CHEMBL1909481	Q06210	2673.0	2673.0
GFPT2	9945.1	ENSG00000131459	ENST00000253778		O94808	9945.0	9945.0
TSTA3	7264.1	ENSG00000278243	ENST00000612580			7264.0	7264.0
GGH	8836.1	ENSG00000137563	ENST00000260118	CHEMBL2223	Q92820	8836.0	8836.0
GGCT	79017.1	ENSG00000006625	ENST00000440082			79017.0	79017.0
GYG2	8908.1	ENSG00000056998	ENST00000398806		O15488	8908.0	8908.0
GYS2	2998.1	ENSG00000111713	ENST00000261195		P54840	2998.0	2998.0
GYG1	2992.1	ENSG00000163754	ENST00000345003		P46976	2992.0	2992.0
GYS1	2997.1	ENSG00000104812	ENST00000323798	CHEMBL4000	P13807	2997.0	2997.0
GGT5	2687.1	ENSG00000099998	ENST00000263112		P36269	2687.0	2687.0
SHMT1	6470.1	ENSG00000176974	ENST00000316694	CHEMBL1772927	P34896	6470.0	6470.0
SHMT1	6470.2	ENSG00000176974	ENST00000316694	CHEMBL1772927	P34896	6470.0	6470.0
SHMT2	6472.1	ENSG00000182199	ENST00000328923		P34897	6472.0	6472.0
GLA	2717.1	ENSG00000102393	ENST00000493905		P51569	2717.0	2717.0
GBE1	2632.1	ENSG00000114480	ENST00000429644		Q04446	2632.0	2632.0
GUSB	2990.1	ENSG00000169919	ENST00000304895	CHEMBL2728	P08236	2990.0	2990.0
HYAL3	8372.1	ENSG00000186792	ENST00000359051		O43820	8372.0	8372.0
GLCE	26035.1	ENSG00000138604	ENST00000559420		Q9EPS3	26035.0	26035.0
CHPF2	54480.1	ENSG00000033100	ENST00000482173			54480.0	54480.0
EXT1	2131.1	ENSG00000182197	ENST00000378204		Q16394	2131.0	2131.0
EXT2	2132.1	ENSG00000151348	ENST00000533608		Q93063	2132.0	2132.0
EXT2	2132.2	ENSG00000151348	ENST00000533608		Q93063	2132.0	2132.0
B3GAT1	27087.2	ENSG00000109956	ENST00000312527		Q9P2W7	27087.0	27087.0
B3GAT2	135152.1	ENSG00000112309	ENST00000230053		Q9NPZ5	135152.0	135152.0
B3GAT1	27087.1	ENSG00000109956	ENST00000312527		Q9P2W7	27087.0	27087.0
B3GAT3	26229.1	ENSG00000149541	ENST00000265471		O94766	26229.0	26229.0
NAGLU	4669.1	ENSG00000108784	ENST00000225927		P54802	4669.0	4669.0
NDST4	64579.1	ENSG00000138653	ENST00000264363		Q9H3R1	64579.0	64579.0
NDST1	3340.1	ENSG00000070614	ENST00000522491			3340.0	3340.0
NDST3	9348.1	ENSG00000164100	ENST00000296499		O95803	9348.0	9348.0
NDST2	8509.1	ENSG00000166507	ENST00000309979		P52849	8509.0	8509.0
DPAGT1	1798.1	ENSG00000172269	ENST00000409993		Q9H3H5	1798.0	1798.0
DPAGT1	1798.2	ENSG00000172269	ENST00000409993		Q9H3H5	1798.0	1798.0
EXTL3	2137.1	ENSG00000012232	ENST00000523149		Q6P1H4	2137.0	2137.0
EXTL2	2135.1	ENSG00000162694	ENST00000370113		Q9UBQ6	2135.0	2135.0
EXTL1	2134.1	ENSG00000158008	ENST00000374280		Q92935	2134.0	2134.0
SLC2A9	56606.1	ENSG00000109667	ENST00000264784	CHEMBL2052034	Q9NRM0	56606.0	56606.0
SLC2A12	154091.1	ENSG00000146411	ENST00000275230		Q8TD20	154091.0	154091.0
SLC2A6	11182.1	ENSG00000160326	ENST00000371897		Q9UGQ3	11182.0	11182.0
SLC2A9	56606.2	ENSG00000109667	ENST00000264784	CHEMBL2052034	Q9NRM0	56606.0	56606.0
SLC2A14	144195.1	ENSG00000173262	ENST00000340749		Q8TDB8	144195.0	144195.0
AGL	178.4	ENSG00000162688	ENST00000361915	CHEMBL5272	P35573	178.0	178.0
AGL	178.5	ENSG00000162688	ENST00000361915	CHEMBL5272	P35573	178.0	178.0
AGL	178.1	ENSG00000162688	ENST00000361915	CHEMBL5272	P35573	178.0	178.0
AGL	178.3	ENSG00000162688	ENST00000361915	CHEMBL5272	P35573	178.0	178.0
AGL	178.2	ENSG00000162688	ENST00000361915	CHEMBL5272	P35573	178.0	178.0
AGL	178.6	ENSG00000162688	ENST00000361915	CHEMBL5272	P35573	178.0	178.0
GLUL	2752.1	ENSG00000135821	ENST00000331872	CHEMBL4612	P15104	2752.0	2752.0
LGSN	51557.1	ENSG00000146166	ENST00000485906			51557.0	51557.0
PYGB	5834.1	ENSG00000100994	ENST00000216962	CHEMBL3856	P11216	5834.0	5834.0
PYGM	5837.1	ENSG00000068976	ENST00000377432	CHEMBL3526	P11217	5837.0	5837.0
PYGL	5836.1	ENSG00000100504	ENST00000532462		P11216	5836.0	5836.0
GCLC	2729.1	ENSG00000001084	ENST00000229416	CHEMBL4055	P48506	2729.0	2729.0
GCLM	2730.1	ENSG00000023909	ENST00000370238		P48507	2730.0	2730.0
GLUD2	2747.1	ENSG00000182890	ENST00000328078		P49448	2747.0	2747.0
GLUD1	2746.1	ENSG00000148672	ENST00000277865		P00367	2746.0	2746.0
FTCD	10841.1	ENSG00000160282	ENST00000291670		O95954	10841.0	10841.0
FTCD	10841.2	ENSG00000160282	ENST00000291670		O95954	10841.0	10841.0
GLS	2744.1	ENSG00000115419	ENST00000320717	CHEMBL2146302	O94925	2744.0	2744.0
GLS2	27165.2	ENSG00000135423	ENST00000424141		Q9UI32	27165.0	27165.0
GLS2	27165.1	ENSG00000135423	ENST00000424141		Q9UI32	27165.0	27165.0
PPAT	5471.1	ENSG00000128059	ENST00000264220	CHEMBL2362992	Q06203	5471.0	5471.0
SLC25A18	83733.1	ENSG00000182902	ENST00000327451		Q9H1K4	83733.0	83733.0
SLC25A22	79751.1	ENSG00000177542	ENST00000320230		Q9H936	79751.0	79751.0
GCDH	2639.1	ENSG00000105607	ENST00000222214		Q92947	2639.0	2639.0
GCDH	2639.2	ENSG00000105607	ENST00000222214		Q92947	2639.0	2639.0
SLC17A6	57084.1	ENSG00000091664	ENST00000263160		Q9P2U8	57084.0	57084.0
SLC17A8	246213.1	ENSG00000179520	ENST00000323346		Q8NDX2	246213.0	246213.0
SLC17A7	57030.1	ENSG00000104888	ENST00000221485		Q9P2U7	57030.0	57030.0
LDHD	197257.1	ENSG00000166816	ENST00000300051		Q86WU2	197257.0	197257.0
LDHD	197257.2	ENSG00000166816	ENST00000300051		Q86WU2	197257.0	197257.0
HAO1	54363.1	ENSG00000101323	ENST00000378789	CHEMBL4229	Q9UJM8	54363.0	54363.0
HAO2	51179.2	ENSG00000116882	ENST00000457318		Q9NYQ2	51179.0	51179.0
HAO2	51179.1	ENSG00000116882	ENST00000457318		Q9NYQ2	51179.0	51179.0
GATM	2628.1	ENSG00000171766	ENST00000396659		P50440	2628.0	2628.0
GRHPR	9380.1	ENSG00000137106	ENST00000318158		Q9UBQ7	9380.0	9380.0
GK	2710.2	ENSG00000198814	ENST00000378946	CHEMBL2300	P32189	2710.0	2710.0
GK2	2712.1	ENSG00000196475	ENST00000358842		Q14410	2712.0	2712.0
GK	2710.1	ENSG00000198814	ENST00000378946	CHEMBL2300	P32189	2710.0	2710.0
GK3P	2713.1	ENSG00000249244				2713.0	
HAGH	3029.1	ENSG00000063854	ENST00000564445			3029.0	3029.0
HAGHL	84264.2	ENSG00000103253	ENST00000549114		Q6PII5	84264.0	84264.0
HAGHL	84264.1	ENSG00000103253	ENST00000549114		Q6PII5	84264.0	84264.0
SLC6A9	6536.1	ENSG00000196517	ENST00000372307		P28571	6536.0	6536.0
SLC6A9	6536.2	ENSG00000196517	ENST00000372307		P28571	6536.0	6536.0
GMDS	2762.1	ENSG00000112699	ENST00000530927		O60547	2762.0	2762.0
GMPR	2766.1	ENSG00000137198	ENST00000259727		P36959	2766.0	2766.0
GMPR2	51292.1	ENSG00000100938	ENST00000355299		Q9P2T1	51292.0	51292.0
GMPR2	51292.3	ENSG00000100938	ENST00000355299		Q9P2T1	51292.0	51292.0
GMPR2	51292.2	ENSG00000100938	ENST00000355299		Q9P2T1	51292.0	51292.0
GMPS	8833.1	ENSG00000163655	ENST00000496455	CHEMBL5721	P49915	8833.0	8833.0
PGD	5226.1	ENSG00000142657	ENST00000491493		P52209	5226.0	5226.0
GNMT	27232.1	ENSG00000124713	ENST00000372808		Q14749	27232.0	27232.0
GPAM	57678.1	ENSG00000119927	ENST00000348367		Q9HCL2	57678.0	57678.0
GPAT3	84803.1	ENSG00000138678	ENST00000395226		Q53EU6	84803.0	84803.0
GPAT2	150763.1	ENSG00000186281	ENST00000359548		Q6NUI2	150763.0	150763.0
PIGW	284098.1	ENSG00000275600	ENST00000616581			284098.0	284098.0
PGAP1	80055.1	ENSG00000197121	ENST00000354764		Q75T13	80055.0	80055.0
PIGM	93183.1	ENSG00000143315	ENST00000368090		Q9H3S5	93183.0	93183.0
PIGX	54965.1	ENSG00000163964	ENST00000426755			54965.0	54965.0
GSR	2936.1	ENSG00000104687	ENST00000221130	CHEMBL2755	P00390	2936.0	2936.0
PRDX2	7001.3	ENSG00000167815	ENST00000334482		Q61171	7001.0	7001.0
PRDX1	5052.3	ENSG00000117450	ENST00000319248	CHEMBL5315	Q06830	5052.0	5052.0
GPX2	2877.1	ENSG00000176153	ENST00000553522		Q9JHC0	2877.0	2877.0
GPX1	2876.2	ENSG00000233276	ENST00000419783	CHEMBL2163186	P07203	2876.0	2876.0
PRDX1	5052.2	ENSG00000117450	ENST00000319248	CHEMBL5315	Q06830	5052.0	5052.0
GPX1	2876.1	ENSG00000233276	ENST00000419783	CHEMBL2163186	P07203	2876.0	2876.0
PRDX1	5052.1	ENSG00000117450	ENST00000319248	CHEMBL5315	Q06830	5052.0	5052.0
PRDX2	7001.1	ENSG00000167815	ENST00000334482		Q61171	7001.0	7001.0
GPX4	2879.1	ENSG00000167468	ENST00000354171		P36969	2879.0	2879.0
PRDX2	7001.2	ENSG00000167815	ENST00000334482		Q61171	7001.0	7001.0
GPX3	2878.1	ENSG00000211445	ENST00000388825		P22352	2878.0	2878.0
GPX6	257202.1	ENSG00000198704	ENST00000361902		P59796	257202.0	257202.0
GPX7	2882.1	ENSG00000116157	ENST00000361314		Q96SL4	2882.0	2882.0
PRDX3	10935.1	ENSG00000165672	ENST00000298510		P30048	10935.0	10935.0
PRDX3	10935.2	ENSG00000165672	ENST00000298510		P30048	10935.0	10935.0
GSS	2937.1	ENSG00000100983	ENST00000216951		P48637	2937.0	2937.0
GGT3P	2679.1	ENSG00000197421			P36268	2679.0	
GGT1	2678.1	ENSG00000100031	ENST00000248923	CHEMBL5696	P19440	2678.0	92086.0
GGT1	2678.3	ENSG00000100031	ENST00000248923	CHEMBL5696	P19440	2678.0	92086.0
GGT1	2678.2	ENSG00000100031	ENST00000248923	CHEMBL5696	P19440	2678.0	92086.0
GCH1	2643.1	ENSG00000131979	ENST00000543643		P30793	2643.0	2643.0
GUCY1A2	2977.1	ENSG00000152402	ENST00000526355	CHEMBL2111348	P33402	2977.0	2977.0
GUCY1B3	2983.1	ENSG00000061918	ENST00000505154		O54865	2983.0	2983.0
NPR2	4882.2	ENSG00000159899	ENST00000342694	CHEMBL2111337	P20594	4882.0	4882.0
GUCY1A3	2982.1	ENSG00000164116	ENST00000506455	CHEMBL3796	Q02108	2982.0	2982.0
GUCY1B2	2974.1	ENSG00000123201				2974.0	
GUCY2F	2986.1	ENSG00000101890	ENST00000218006		P51841	2986.0	2986.0
NPR2	4882.1	ENSG00000159899	ENST00000342694	CHEMBL2111337	P20594	4882.0	4882.0
GUCY2C	2984.1	ENSG00000070019	ENST00000261170	CHEMBL1795197	P25092	2984.0	2984.0
NPR1	4881.1	ENSG00000169418	ENST00000368680	CHEMBL1988	P16066	4881.0	4881.0
GUCY2D	3000.1	ENSG00000132518	ENST00000254854		Q02846	3000.0	3000.0
GDA	9615.1	ENSG00000119125	ENST00000376986		Q9R111	9615.0	9615.0
HPRT1	3251.1	ENSG00000165704	ENST00000298556	CHEMBL2360	P00492	3251.0	3251.0
CA3	761.1	ENSG00000164879	ENST00000520921			761.0	761.0
CA12	771.1	ENSG00000074410	ENST00000178638	CHEMBL2095180	O43570	771.0	771.0
CA13	377677.1	ENSG00000185015	ENST00000321764	CHEMBL2095180	Q8N1Q1	377677.0	377677.0
CA4	762.1	ENSG00000167434	ENST00000300900	CHEMBL2095180	P22748	762.0	762.0
CA7	766.2	ENSG00000168748	ENST00000338437	CHEMBL2326	P43166	766.0	766.0
CA14	23632.1	ENSG00000118298	ENST00000369111	CHEMBL3510	Q9ULX7	23632.0	23632.0
CA7	766.1	ENSG00000168748	ENST00000338437	CHEMBL2326	P43166	766.0	766.0
CA12	771.2	ENSG00000074410	ENST00000178638	CHEMBL2095180	O43570	771.0	771.0
CA1	759.1	ENSG00000133742	ENST00000523953	CHEMBL2095180	P00915	759.0	759.0
CA9	768.1	ENSG00000107159	ENST00000378357	CHEMBL3594	Q16790	768.0	768.0
CA2	760.1	ENSG00000104267	ENST00000285379	CHEMBL2096906	P00918	760.0	760.0
